Gene.symbol	Gene.ID	adj.P.Val	logFC
MPDZ	8777	2.56592417544154e-36	-3.67006387844445
PRKG2	5593	5.8872342907795e-30	-5.87476460055556
CHRM3	1131	3.20042911460245e-28	-4.37856988838889
FREM1	158326	1.11956657176524e-23	-3.4098246065
NKAIN2	154215	5.16667547806488e-23	-4.67348965777778
HLF	3131	2.78680651570537e-20	-4.14036367338889
NAP1L3	4675	6.56363353751396e-20	-4.12074150494445
PBX1	5087	1.92818501064266e-18	-4.19551911222222
		1.96688489322427e-18	-2.67626104872222
SGIP1	84251	1.97277280589264e-18	-2.26668834611111
PLCB4	5332	8.12978474975261e-18	-3.436481563
CRHBP	1393	1.68651696520348e-17	-4.41211256005556
SGCZ	137868	1.48108174001191e-16	-1.87749534672222
FAT4	79633	3.46389806976736e-16	-1.72822099711111
ST6GAL2	84620	1.23803671338417e-15	-2.07099867272222
EMCN	51705	2.12337298832051e-15	-2.34925887205556
RPS6KA6	27330	2.76502588420461e-14	-2.28648589972222
HFM1	164045	4.98842194430987e-14	-1.74752571233333
PRKG1	5592	4.98842194430987e-14	-1.97547089594445
DTX3	196403	3.65617833642273e-13	-1.8900337425
ELN	2006	3.65617833642273e-13	-1.94814958
LIMCH1	22998	3.94098287577557e-13	-2.21014730072222
FYB	2533	7.3814061548141e-13	4.38238276816667
BEX2	84707	9.98627468414579e-13	-2.70245587916667
PLOD2	5352	1.29222685481124e-12	-4.35933577477778
PRKCD	5580	1.41104989751529e-12	2.97252833266667
CEP126	57562	1.67880196137767e-12	-2.77985165477778
RNF150	57484	1.87413301150332e-12	-2.08046266911111
ADGRG6	57211	2.18025875040795e-12	-4.53988456877778
SPOCK3	50859	2.66824082691112e-12	-2.01924801716667
NUDT11	55190	4.86429713831301e-12	-3.17347958394444
		5.17766285742263e-12	-2.97287592405556
CDH7	1005	5.53404784500788e-12	-1.71811622361111
LRCH2	57631	1.63069756313581e-11	-2.05384542405556
CNN3	1266	1.97502491095821e-11	-3.2901396115
PDZD2	23037	3.69757473249625e-11	-2.441912577
VWDE	221806	4.71763214621014e-11	-3.76142551894444
		5.18492206012974e-11	-3.27643130972222
		3.26887934884883e-10	-2.49897428161111
ELAC2///HMGA2///HMGA2	60528///8091///8091	3.49900754532938e-10	-2.19927881311111
CTSF	8722	4.13547134236956e-10	-2.12292367677778
